campaign_id,product_type,audience_age,audience_gender,location,channel,duration_days,budget_usd,click_through_rate
31,Laptops,55+,Female,Florida,Facebook,30,2716.83,0.0397
32,Furniture,35-44,Female,Florida,Instagram,7,4000.28,0.0631
33,Furniture,35-44,Other,California,LinkedIn,45,1289.14,0.0366
34,Shoes,35-44,Male,Florida,Google Ads,45,7398.14,0.0612
35,Laptops,45-54,Other,New York,LinkedIn,7,8516.74,0.0487
36,Books,25-34,Other,Illinois,Instagram,30,4355.42,0.0528
37,Laptops,55+,Female,New York,LinkedIn,45,3889.85,0.0266
38,Books,55+,Male,Texas,Instagram,60,6757.19,0.0528
39,Shoes,35-44,Other,California,Instagram,7,1218.11,0.0316
40,Smartphones,55+,Male,New York,YouTube,14,3291.5,0.0502
41,Furniture,55+,Female,New York,LinkedIn,45,3979.02,0.0408
42,Shoes,18-24,Male,Florida,Facebook,60,5426.61,0.0581
43,Furniture,55+,Female,Florida,Instagram,30,5027.41,0.0618
44,Smartphones,45-54,Other,Florida,LinkedIn,30,2482.46,0.0336
45,Smartphones,35-44,Female,Texas,Facebook,7,5637.48,0.0648
46,Shoes,25-34,Male,New York,Google Ads,60,9295.75,0.0789
47,Smartphones,25-34,Male,Illinois,Facebook,7,757.33,0.0443
48,Books,18-24,Male,Florida,LinkedIn,45,6962.91,0.0519
49,Smartphones,25-34,Other,Texas,LinkedIn,7,6434.74,0.0691
50,Furniture,25-34,Male,Texas,Facebook,14,9282.06,0.0677
51,Furniture,35-44,Male,Florida,Facebook,7,6630.78,0.0752
52,Furniture,35-44,Male,California,Instagram,7,6436.01,0.0649
53,Furniture,45-54,Female,New York,LinkedIn,45,7813.15,0.0459
54,Books,18-24,Male,Florida,Instagram,60,3044.16,0.0398
55,Laptops,25-34,Female,Illinois,Instagram,14,6159.46,0.0594
56,Shoes,45-54,Male,New York,Google Ads,7,5434.5,0.0673
57,Furniture,18-24,Female,Texas,LinkedIn,45,4665.49,0.0267
58,Smartphones,25-34,Female,Illinois,Instagram,45,1255.13,0.0445
59,Furniture,25-34,Other,New York,Google Ads,45,3279.97,0.0668
60,Smartphones,35-44,Other,Illinois,Instagram,60,3159.83,0.0395
61,Smartphones,55+,Female,Texas,Instagram,7,7380.38,0.0522
62,Furniture,18-24,Female,Florida,LinkedIn,30,9246.23,0.0265
63,Books,25-34,Other,Illinois,Facebook,14,2692.48,0.0546
64,Smartphones,18-24,Female,Florida,Facebook,30,1208.93,0.0571
65,Smartphones,45-54,Other,Texas,LinkedIn,60,9999.59,0.0399
66,Furniture,45-54,Other,Texas,Facebook,7,7066.45,0.0694
67,Smartphones,55+,Male,Illinois,YouTube,30,8921.47,0.0586
68,Smartphones,25-34,Male,Illinois,Facebook,30,1866.85,0.0538
69,Furniture,35-44,Other,Texas,Instagram,30,8107.3,0.063
70,Furniture,25-34,Other,Illinois,Instagram,14,8226.58,0.0563
71,Shoes,18-24,Female,Illinois,Google Ads,7,1939.14,0.0878
72,Books,45-54,Other,Illinois,LinkedIn,45,2033.34,0.0348
73,Books,18-24,Other,Illinois,Google Ads,7,3306.79,0.0717
74,Smartphones,55+,Male,New York,Instagram,30,2559.48,0.0242
75,Books,45-54,Other,Texas,Instagram,7,9766.39,0.0777
76,Smartphones,35-44,Female,Texas,Google Ads,45,3947.97,0.0711
77,Shoes,45-54,Other,California,YouTube,14,7732.41,0.0478
78,Furniture,25-34,Male,Florida,Facebook,7,8147.98,0.0605
79,Furniture,25-34,Male,California,YouTube,7,4166.44,0.0593
80,Furniture,45-54,Male,Illinois,YouTube,14,6984.56,0.0708
81,Books,55+,Male,Illinois,YouTube,14,1524.1,0.0456
82,Shoes,25-34,Other,New York,YouTube,30,4271.14,0.0554
83,Books,25-34,Female,New York,Facebook,30,9689.45,0.0581
84,Books,35-44,Female,New York,LinkedIn,14,2101.04,0.036
85,Shoes,45-54,Female,New York,Google Ads,45,4164.26,0.0581
86,Shoes,25-34,Other,New York,YouTube,30,8009.95,0.0539
87,Shoes,55+,Other,New York,YouTube,45,6821.52,0.037
88,Shoes,18-24,Other,New York,Google Ads,14,6499.43,0.0956
89,Furniture,45-54,Female,New York,Google Ads,7,8605.95,0.086
90,Laptops,35-44,Other,New York,LinkedIn,14,776.39,0.0253
91,Laptops,25-34,Other,Texas,Instagram,14,7826.06,0.065
92,Shoes,55+,Male,New York,LinkedIn,60,8884.22,0.0278
93,Laptops,45-54,Male,Florida,Instagram,14,653.66,0.0341
94,Laptops,55+,Female,New York,Facebook,30,5810.15,0.0391
95,Shoes,55+,Male,Illinois,LinkedIn,7,3811.59,0.0342
96,Laptops,35-44,Male,Illinois,Facebook,45,982.25,0.0417
97,Books,45-54,Male,New York,Google Ads,60,4468.61,0.0593
98,Smartphones,25-34,Other,New York,LinkedIn,30,6618.29,0.0536
99,Smartphones,35-44,Male,Illinois,Google Ads,7,9230.63,0.0781
100,Shoes,25-34,Male,Florida,YouTube,45,6395.04,0.0729
101,Furniture,18-24,Male,California,Google Ads,7,8639.06,0.0754
102,Shoes,55+,Other,Texas,YouTube,30,1654.93,0.0335
103,Furniture,18-24,Female,Illinois,Instagram,7,2499.95,0.0403
104,Smartphones,55+,Other,New York,YouTube,14,9717.78,0.0492
105,Shoes,35-44,Other,Texas,Instagram,7,8930.31,0.0596
106,Books,25-34,Male,New York,YouTube,14,2734.66,0.0515
107,Laptops,25-34,Female,California,YouTube,30,6399.25,0.0664
108,Furniture,35-44,Male,California,Facebook,60,3945.01,0.0498
109,Laptops,45-54,Male,Illinois,Facebook,14,4951.69,0.0545
110,Laptops,18-24,Female,Texas,Google Ads,7,8678.34,0.0886
111,Shoes,18-24,Female,Texas,Facebook,7,7489.27,0.08
112,Laptops,25-34,Other,California,Instagram,7,2765.2,0.0614
113,Books,25-34,Female,New York,Facebook,30,3501.93,0.0356
114,Laptops,25-34,Other,Illinois,Google Ads,45,3252.25,0.0836
115,Shoes,35-44,Other,Florida,LinkedIn,7,7916.3,0.0498
116,Books,45-54,Male,California,Instagram,7,5155.84,0.0583
117,Smartphones,18-24,Male,California,LinkedIn,14,9531.88,0.0755
118,Laptops,55+,Male,Illinois,Instagram,60,8258.53,0.0439
119,Shoes,35-44,Female,New York,Google Ads,7,2506.35,0.0671
120,Smartphones,18-24,Female,Texas,Facebook,30,7966.46,0.0838
121,Smartphones,45-54,Other,California,LinkedIn,45,5307.75,0.0276
122,Furniture,35-44,Other,Illinois,LinkedIn,45,2910.25,0.0484
123,Books,18-24,Other,Illinois,Facebook,45,3951.65,0.0367
124,Laptops,35-44,Female,Illinois,Google Ads,30,9735.2,0.0893
125,Shoes,18-24,Other,Texas,Facebook,45,5097.63,0.0685
126,Furniture,18-24,Other,California,YouTube,45,7336.26,0.0494
127,Books,45-54,Female,Illinois,YouTube,14,5032.31,0.073
128,Furniture,55+,Male,Texas,YouTube,45,4029.79,0.0577
129,Books,45-54,Female,New York,LinkedIn,14,8065.99,0.0535
130,Books,18-24,Other,Florida,LinkedIn,14,8559.08,0.0512
131,Laptops,35-44,Male,California,Google Ads,14,1182.95,0.0636
132,Books,45-54,Female,Texas,Instagram,30,3150.29,0.0447
133,Furniture,55+,Male,Florida,Facebook,7,5324.77,0.0736
134,Books,18-24,Male,Florida,Instagram,60,3506.73,0.0441
135,Laptops,45-54,Other,Texas,LinkedIn,45,7944.04,0.046
136,Laptops,45-54,Female,Texas,Facebook,60,1589.97,0.0383
137,Furniture,45-54,Other,Texas,LinkedIn,7,8079.08,0.0687
138,Smartphones,45-54,Female,Illinois,Google Ads,14,6369.92,0.0656
139,Smartphones,35-44,Female,New York,Facebook,14,3248.99,0.0526
140,Books,55+,Female,Illinois,LinkedIn,14,3772.32,0.0591
141,Shoes,55+,Male,Florida,YouTube,14,2237.54,0.038
142,Books,18-24,Male,Florida,YouTube,45,2899.45,0.0397
143,Furniture,25-34,Other,Florida,LinkedIn,7,7314.05,0.048
144,Furniture,35-44,Female,Texas,Instagram,7,4070.9,0.0645
145,Furniture,18-24,Female,California,Google Ads,7,7031.1,0.0582
146,Furniture,18-24,Male,Illinois,Google Ads,60,5384.02,0.051
147,Furniture,45-54,Female,California,LinkedIn,14,1880.33,0.0375
148,Laptops,25-34,Other,New York,Google Ads,30,5241.17,0.0782
149,Smartphones,25-34,Female,New York,Facebook,7,7686.46,0.0675
150,Furniture,35-44,Female,Illinois,Google Ads,60,3327.92,0.0704
151,Shoes,25-34,Male,Florida,YouTube,45,6656.78,0.0699
152,Shoes,18-24,Female,New York,LinkedIn,14,2390.81,0.0439
153,Shoes,25-34,Other,California,Facebook,60,1789.14,0.0391
154,Shoes,25-34,Other,California,Google Ads,30,3922.15,0.0678
155,Laptops,55+,Other,Texas,YouTube,30,4197.43,0.0506
156,Shoes,18-24,Other,Florida,Instagram,45,7729.59,0.0667
157,Furniture,25-34,Male,Texas,Google Ads,7,4870.75,0.0822
158,Books,25-34,Female,Illinois,YouTube,7,1271.73,0.0539
159,Shoes,45-54,Male,New York,YouTube,60,6523.0,0.0488
160,Laptops,25-34,Other,Texas,YouTube,60,4957.91,0.0609
161,Laptops,25-34,Female,Texas,YouTube,7,3650.61,0.0671
162,Shoes,55+,Male,Illinois,Instagram,7,8121.08,0.0529
163,Books,18-24,Female,California,LinkedIn,60,1966.66,0.0223
164,Shoes,35-44,Other,California,YouTube,14,9175.52,0.0684
165,Laptops,18-24,Other,Illinois,LinkedIn,30,3673.58,0.0404
166,Smartphones,45-54,Female,California,Instagram,30,4878.94,0.0305
167,Furniture,18-24,Female,Illinois,Instagram,45,9327.71,0.053
168,Laptops,25-34,Other,California,Facebook,30,7731.78,0.0593
169,Shoes,45-54,Male,Illinois,Facebook,60,1205.87,0.0142
170,Furniture,18-24,Other,California,YouTube,14,5993.82,0.0521
171,Shoes,45-54,Female,Texas,LinkedIn,60,3448.45,0.0173
172,Shoes,35-44,Male,Texas,Instagram,7,5330.64,0.0518
173,Smartphones,18-24,Other,California,Google Ads,7,7558.21,0.0971
174,Furniture,25-34,Female,Illinois,Facebook,30,5213.64,0.0523
175,Furniture,45-54,Female,Texas,Facebook,14,1174.71,0.0503
176,Smartphones,55+,Female,New York,Google Ads,45,5534.81,0.0626
177,Laptops,45-54,Male,California,LinkedIn,60,729.23,0.0121
178,Shoes,55+,Male,New York,LinkedIn,45,3809.89,0.0134
179,Books,25-34,Male,New York,LinkedIn,45,5041.29,0.0439
180,Shoes,35-44,Male,Florida,YouTube,45,6624.4,0.0519
181,Shoes,55+,Female,New York,YouTube,45,5308.96,0.038
182,Laptops,35-44,Female,New York,Google Ads,60,1943.49,0.0528
183,Shoes,45-54,Male,Florida,Instagram,7,9356.07,0.0563
184,Smartphones,25-34,Male,Florida,Google Ads,60,6677.85,0.0808
185,Smartphones,55+,Female,Florida,Instagram,7,3511.19,0.0392
186,Furniture,45-54,Other,Illinois,Google Ads,7,9676.43,0.0954
187,Books,18-24,Other,Florida,YouTube,60,8884.49,0.0631
188,Shoes,45-54,Female,Illinois,LinkedIn,60,1863.16,0.019
189,Shoes,35-44,Male,California,Facebook,60,6726.58,0.0355
190,Laptops,25-34,Male,Illinois,Google Ads,7,5820.66,0.0842
191,Smartphones,25-34,Female,California,Google Ads,60,2331.68,0.0695
192,Books,45-54,Other,Florida,Facebook,14,2718.01,0.0533
193,Furniture,18-24,Female,Florida,Google Ads,30,5855.85,0.0655
194,Smartphones,35-44,Female,California,LinkedIn,30,3552.24,0.0408
195,Furniture,45-54,Female,Texas,Facebook,14,8430.9,0.0631
196,Laptops,45-54,Male,Illinois,Facebook,30,1428.52,0.0356
197,Laptops,25-34,Male,New York,LinkedIn,7,9183.29,0.0657
198,Shoes,35-44,Male,Florida,LinkedIn,60,8485.25,0.0387
199,Books,18-24,Other,Illinois,Facebook,60,7516.92,0.0456
200,Furniture,25-34,Female,Illinois,LinkedIn,60,2994.39,0.0344
201,Smartphones,45-54,Female,Florida,LinkedIn,14,7292.1,0.0518
202,Laptops,25-34,Other,California,LinkedIn,14,4668.31,0.0468
203,Shoes,25-34,Male,Florida,Facebook,7,6520.7,0.0802
204,Shoes,55+,Female,Illinois,Google Ads,14,3469.27,0.0478
205,Furniture,25-34,Other,Texas,Instagram,60,8440.65,0.0415
206,Laptops,25-34,Male,California,Facebook,7,885.47,0.0445
207,Books,35-44,Male,Florida,Instagram,7,7068.87,0.0635
208,Laptops,25-34,Female,New York,LinkedIn,60,8372.0,0.0447
209,Furniture,18-24,Male,Florida,LinkedIn,45,6641.07,0.0271
210,Furniture,45-54,Other,Illinois,Google Ads,60,2323.92,0.0605
211,Laptops,35-44,Male,Illinois,LinkedIn,7,3207.32,0.0481
212,Furniture,25-34,Female,New York,Instagram,45,5391.6,0.0403
213,Laptops,18-24,Other,California,Facebook,60,3629.77,0.0446
214,Smartphones,45-54,Male,Illinois,Facebook,60,546.71,0.0184
215,Laptops,35-44,Male,California,Google Ads,45,886.44,0.0544
216,Laptops,18-24,Male,California,Instagram,45,7793.8,0.0498
217,Furniture,25-34,Other,Florida,LinkedIn,30,1295.22,0.0379
218,Furniture,55+,Male,California,YouTube,45,9316.21,0.0586
219,Shoes,55+,Female,Illinois,Google Ads,14,4706.0,0.0543
220,Shoes,35-44,Other,Illinois,Google Ads,45,7702.77,0.0643
221,Smartphones,18-24,Other,Texas,YouTube,7,1692.29,0.0698
222,Shoes,45-54,Male,California,Facebook,45,9301.82,0.0464
223,Laptops,18-24,Other,Texas,Facebook,60,821.18,0.0377
224,Furniture,55+,Female,Florida,Facebook,14,900.3,0.0545
225,Shoes,35-44,Other,Texas,YouTube,45,1018.56,0.0421
226,Shoes,25-34,Female,California,LinkedIn,14,1482.38,0.032
227,Smartphones,18-24,Male,Illinois,LinkedIn,30,5124.9,0.0577
228,Smartphones,55+,Other,Florida,Instagram,14,7988.63,0.0343
229,Laptops,45-54,Female,California,Instagram,60,3207.0,0.0303
230,Furniture,35-44,Male,Florida,Facebook,30,7584.88,0.066
231,Smartphones,25-34,Female,New York,YouTube,45,7853.58,0.0535
232,Shoes,18-24,Other,California,Google Ads,14,9128.63,0.1076
233,Furniture,45-54,Other,New York,LinkedIn,30,1918.84,0.0353
234,Furniture,25-34,Female,Texas,YouTube,45,1787.58,0.0335
235,Shoes,55+,Male,California,Instagram,45,1659.9,0.0159
236,Smartphones,55+,Male,New York,LinkedIn,14,3913.45,0.0368
237,Shoes,45-54,Male,Illinois,LinkedIn,14,5149.42,0.0484
238,Furniture,55+,Male,Texas,YouTube,30,4885.29,0.0627
239,Books,35-44,Female,California,Instagram,14,2941.96,0.0494
240,Books,45-54,Other,California,YouTube,45,6408.81,0.0682
241,Laptops,55+,Female,Illinois,Google Ads,60,3713.6,0.0529
242,Shoes,18-24,Other,Illinois,LinkedIn,30,3977.79,0.0568
243,Shoes,55+,Other,New York,YouTube,60,1502.54,0.027
244,Laptops,35-44,Female,New York,YouTube,60,6126.2,0.0501
245,Laptops,25-34,Female,New York,Google Ads,45,6725.16,0.0867
246,Laptops,25-34,Male,Florida,YouTube,60,7700.53,0.0611
247,Furniture,55+,Other,Texas,LinkedIn,7,9088.09,0.0559
248,Shoes,25-34,Male,California,Facebook,30,7777.04,0.0616
249,Furniture,55+,Male,Texas,Facebook,45,2739.56,0.0519
250,Laptops,35-44,Female,Illinois,Instagram,14,2738.72,0.0571
251,Shoes,25-34,Male,Texas,Google Ads,45,9193.33,0.084
252,Furniture,18-24,Male,Texas,Instagram,14,8006.27,0.049
253,Furniture,55+,Male,New York,Facebook,45,7931.34,0.0599
254,Laptops,25-34,Female,Illinois,Google Ads,7,7337.28,0.0911
255,Shoes,35-44,Male,Texas,YouTube,30,3038.42,0.0462
256,Laptops,35-44,Male,California,YouTube,60,8550.4,0.057
257,Shoes,18-24,Female,New York,LinkedIn,45,1857.4,0.045
258,Books,35-44,Female,Texas,Facebook,30,3825.17,0.0507
259,Smartphones,35-44,Female,Illinois,YouTube,30,3791.51,0.0461
260,Smartphones,25-34,Other,California,Google Ads,30,5821.26,0.0796
261,Smartphones,55+,Female,Illinois,YouTube,30,4902.71,0.044
262,Laptops,45-54,Other,Illinois,Instagram,30,4868.18,0.0525
263,Books,35-44,Female,Illinois,Instagram,60,5758.94,0.0391
264,Shoes,35-44,Female,Florida,Instagram,60,4446.48,0.0409
265,Furniture,45-54,Female,California,Instagram,45,2874.84,0.0517
266,Shoes,35-44,Other,Illinois,Instagram,14,6809.15,0.0484
267,Furniture,25-34,Male,Florida,LinkedIn,45,8011.02,0.0471
268,Shoes,25-34,Female,New York,Instagram,30,5050.46,0.0399
269,Books,45-54,Other,Florida,LinkedIn,14,6670.09,0.0633
270,Furniture,35-44,Female,New York,LinkedIn,45,5585.95,0.052
271,Laptops,35-44,Male,Florida,YouTube,14,1060.47,0.0556
272,Shoes,55+,Other,Illinois,Google Ads,60,4519.3,0.042
273,Shoes,35-44,Female,Florida,Instagram,30,593.6,0.0331
274,Furniture,25-34,Female,Florida,Google Ads,14,6787.85,0.0808
275,Laptops,18-24,Female,Illinois,Facebook,7,5327.53,0.0445
276,Laptops,18-24,Male,New York,LinkedIn,30,1704.9,0.0352
277,Books,18-24,Other,Illinois,Facebook,60,5650.82,0.0516
278,Laptops,18-24,Female,California,LinkedIn,60,9035.05,0.0494
279,Laptops,35-44,Female,Florida,Instagram,45,3734.66,0.0429
280,Laptops,35-44,Other,California,Facebook,7,9832.5,0.0582
281,Smartphones,55+,Male,Illinois,YouTube,14,9614.11,0.0542
282,Books,35-44,Male,Illinois,Facebook,45,7960.44,0.0616
283,Shoes,18-24,Male,Texas,LinkedIn,60,8231.1,0.0515
284,Furniture,45-54,Male,California,LinkedIn,14,4400.18,0.0406
285,Shoes,45-54,Male,Texas,Google Ads,60,4324.14,0.0598
286,Books,25-34,Female,California,Facebook,60,9566.77,0.05
287,Furniture,25-34,Female,Texas,YouTube,7,3978.86,0.0675
288,Books,35-44,Female,Texas,Instagram,30,1420.29,0.043
289,Laptops,45-54,Other,California,Google Ads,14,1950.66,0.0607
290,Furniture,18-24,Male,Illinois,Facebook,7,7248.79,0.0485
291,Laptops,18-24,Other,New York,Google Ads,60,4138.32,0.0598
292,Shoes,18-24,Male,Illinois,Facebook,60,2393.76,0.0484
293,Shoes,35-44,Male,New York,Instagram,7,8230.97,0.0478
294,Furniture,35-44,Other,California,Instagram,14,5142.4,0.0639
295,Furniture,55+,Female,Florida,YouTube,60,5892.59,0.0646
296,Books,18-24,Other,Illinois,Google Ads,14,1962.52,0.0618
297,Books,18-24,Female,Texas,YouTube,7,2331.16,0.0674
298,Laptops,35-44,Male,Illinois,Facebook,60,1695.63,0.0422
299,Furniture,35-44,Female,California,Instagram,45,5388.16,0.0553
300,Shoes,55+,Male,Florida,Instagram,45,7868.74,0.0433
301,Books,55+,Male,Florida,LinkedIn,60,7456.71,0.0558
302,Books,25-34,Female,Illinois,LinkedIn,30,2981.69,0.0362
303,Shoes,45-54,Male,Illinois,YouTube,60,8589.73,0.0511
304,Books,18-24,Female,Illinois,Google Ads,60,1503.78,0.0572
305,Laptops,18-24,Other,California,Facebook,60,1583.47,0.0301
306,Furniture,55+,Male,New York,YouTube,7,8568.39,0.07
307,Shoes,55+,Male,New York,Instagram,60,2821.99,0.0142
308,Furniture,25-34,Other,Texas,Instagram,60,7227.1,0.0456
309,Books,45-54,Male,California,Instagram,7,586.26,0.0377
310,Books,25-34,Other,Florida,Facebook,60,1389.21,0.0308
311,Shoes,45-54,Other,Texas,YouTube,45,6288.24,0.0493
312,Laptops,18-24,Male,Florida,Facebook,45,2232.95,0.0462
313,Smartphones,25-34,Other,Florida,Instagram,60,768.03,0.0396
314,Shoes,55+,Other,Illinois,LinkedIn,7,4935.99,0.0294
315,Smartphones,25-34,Other,Florida,YouTube,60,3639.94,0.0559
316,Smartphones,25-34,Male,Florida,LinkedIn,60,8121.44,0.0581
317,Laptops,18-24,Other,California,YouTube,14,8278.88,0.0641
318,Smartphones,55+,Female,Illinois,Instagram,30,6337.02,0.0434
319,Smartphones,55+,Female,Illinois,LinkedIn,7,3283.82,0.0253
320,Laptops,35-44,Other,Texas,LinkedIn,30,4885.45,0.0527
321,Smartphones,35-44,Female,Illinois,YouTube,14,7171.43,0.0715
322,Smartphones,35-44,Male,New York,LinkedIn,30,1158.43,0.0094
323,Smartphones,18-24,Other,California,LinkedIn,60,3658.72,0.0498
324,Shoes,25-34,Male,Texas,Instagram,45,8312.51,0.0679
325,Shoes,55+,Female,New York,YouTube,7,4357.27,0.044
326,Shoes,55+,Female,Florida,YouTube,7,6434.35,0.0575
327,Laptops,25-34,Female,New York,Google Ads,60,1415.18,0.0524
328,Books,55+,Female,Texas,YouTube,30,7881.94,0.0763
329,Smartphones,25-34,Male,Illinois,Instagram,7,1454.42,0.0677
330,Smartphones,18-24,Other,California,LinkedIn,14,8684.49,0.0532
331,Laptops,18-24,Male,Texas,Google Ads,14,1512.71,0.0655
332,Smartphones,18-24,Other,New York,LinkedIn,30,8963.48,0.0675
333,Shoes,25-34,Female,New York,YouTube,14,3955.81,0.0706
334,Books,25-34,Female,Texas,Facebook,45,6433.04,0.0476
335,Furniture,45-54,Female,Texas,LinkedIn,60,8542.23,0.0478
336,Smartphones,55+,Female,Texas,YouTube,7,597.29,0.0304
337,Shoes,55+,Male,Illinois,Instagram,60,3024.09,0.0186
338,Furniture,45-54,Other,Texas,YouTube,30,9129.21,0.0753
339,Books,45-54,Other,Florida,Google Ads,60,4187.67,0.0625
340,Furniture,18-24,Female,California,Facebook,7,7210.57,0.0443
341,Shoes,45-54,Male,California,Facebook,7,1830.11,0.0293
342,Furniture,25-34,Female,Florida,Facebook,30,6944.53,0.0582
343,Laptops,35-44,Other,New York,Instagram,7,1195.03,0.0401
344,Furniture,25-34,Other,New York,Facebook,14,7314.59,0.0572
345,Smartphones,45-54,Male,New York,LinkedIn,60,3576.15,0.0141
346,Smartphones,55+,Other,New York,Instagram,45,4925.55,0.0344
347,Laptops,25-34,Male,Illinois,YouTube,45,2079.47,0.0516
348,Shoes,55+,Female,Florida,Google Ads,45,6464.57,0.06
349,Smartphones,25-34,Female,California,Instagram,30,3706.89,0.0524
350,Books,55+,Male,Florida,Google Ads,45,4142.06,0.0768
351,Smartphones,25-34,Female,California,Instagram,60,6695.83,0.0527
352,Smartphones,55+,Male,New York,YouTube,7,2199.19,0.0434
353,Shoes,35-44,Female,Illinois,Google Ads,14,8594.08,0.0775
354,Furniture,18-24,Female,Texas,Instagram,45,7523.22,0.0345
355,Smartphones,25-34,Other,Texas,Google Ads,45,5988.44,0.0833
356,Laptops,35-44,Other,New York,Facebook,45,1719.16,0.0372
357,Furniture,18-24,Male,New York,Facebook,14,7027.54,0.0433
358,Books,25-34,Female,Florida,Facebook,60,671.94,0.025
359,Shoes,35-44,Female,Illinois,LinkedIn,45,8141.76,0.0471
360,Books,35-44,Female,Illinois,Facebook,7,3386.08,0.0533
361,Furniture,35-44,Other,Florida,Facebook,30,1613.51,0.0602
362,Furniture,45-54,Male,Illinois,YouTube,14,2062.65,0.0609
363,Furniture,55+,Male,Illinois,Google Ads,60,9649.78,0.0803
364,Books,18-24,Male,Texas,Google Ads,7,7851.39,0.0792
365,Furniture,55+,Female,Illinois,Facebook,14,2759.78,0.0403
366,Books,55+,Male,New York,Google Ads,14,9652.93,0.0798
367,Furniture,55+,Other,Texas,Instagram,30,1831.12,0.0582
368,Laptops,35-44,Other,New York,Facebook,30,7468.51,0.0569
369,Furniture,55+,Male,New York,Facebook,60,6739.03,0.0543
370,Books,45-54,Female,Florida,LinkedIn,45,8304.03,0.0453
371,Smartphones,25-34,Other,Illinois,Instagram,30,4126.14,0.0585
372,Furniture,35-44,Other,Illinois,Facebook,60,4317.44,0.0556
373,Smartphones,18-24,Female,Illinois,Facebook,14,6433.39,0.0927
374,Laptops,25-34,Female,Illinois,Google Ads,45,4282.95,0.0732
375,Shoes,25-34,Male,Texas,Facebook,7,892.83,0.046
376,Laptops,25-34,Other,California,Facebook,14,7432.23,0.0685
377,Furniture,55+,Other,New York,Facebook,60,6588.99,0.0419
378,Smartphones,55+,Male,California,Facebook,7,4525.27,0.0427
379,Smartphones,35-44,Male,California,LinkedIn,14,3376.88,0.0389
380,Books,55+,Other,California,Instagram,30,3546.9,0.0463
381,Smartphones,55+,Other,Texas,LinkedIn,60,7539.77,0.0311
382,Books,55+,Female,California,Google Ads,7,7427.03,0.0888
383,Shoes,35-44,Female,Texas,YouTube,30,8279.72,0.0673
384,Furniture,35-44,Other,Florida,Facebook,7,7740.71,0.0856
385,Books,45-54,Other,Florida,Google Ads,45,7700.47,0.0791
386,Shoes,45-54,Female,Florida,YouTube,45,2891.85,0.0384
387,Smartphones,45-54,Male,Texas,Facebook,60,1465.32,0.0186
388,Smartphones,45-54,Male,Texas,Facebook,7,7736.65,0.0608
389,Shoes,25-34,Other,New York,YouTube,45,1436.87,0.0414
390,Smartphones,25-34,Other,California,LinkedIn,14,9830.06,0.064
391,Shoes,45-54,Female,Illinois,YouTube,14,8813.35,0.0665
392,Books,45-54,Other,Illinois,YouTube,45,5567.89,0.0581
393,Books,18-24,Male,California,Instagram,45,3845.74,0.0351
394,Shoes,25-34,Female,Illinois,Facebook,60,5505.01,0.0584
395,Books,18-24,Female,Illinois,Facebook,60,7475.87,0.0522
396,Books,18-24,Male,Illinois,LinkedIn,14,7685.13,0.0534
397,Books,55+,Male,Texas,LinkedIn,30,1199.83,0.0363
398,Laptops,35-44,Female,Texas,Instagram,7,8146.11,0.0607
399,Furniture,25-34,Other,Texas,Instagram,30,6594.22,0.0507
400,Smartphones,45-54,Male,California,Instagram,60,885.51,0.0089
